oem,model,launch_announced,launch_status,body_dimensions,body_weight,body_sim,display_type,display_size,display_resolution,features_sensors,platform_os
LG,U890,"2006, February",Discontinued,"98.8 x 49 x 18.2 mm, 80 cc (3.89 x 1.93 x 0.72 in)",99 g (3.49 oz),Mini-SIM,"TFT, 256K colors","2.2 inches, 35 x 44 mm, 15.2 cm (~31.5% screen-to-body ratio)",176 x 220 pixels (~128 ppi density),V1,
LG,P7200,"2005, August",Discontinued,96 x 50 x 17 mm (3.78 x 1.97 x 0.67 in),112 g (3.95 oz),Mini-SIM,"TFT, 256K colors",,176 x 220 pixels,V1,
LG,B2050,"2005, Q3",Discontinued,105 x 44 x 15.9 mm (4.13 x 1.73 x 0.63 in),72 g (2.54 oz),Mini-SIM,"CSN, 65K colors","1.5 inches, 7.3 cm (~15.7% screen-to-body ratio)","128 x 128 pixels, 1:1 ratio (~121 ppi density)",V1,
LG,M4410,"2005, Q1",Discontinued,94 x 48 x 25 mm (3.70 x 1.89 x 0.98 in),107 g (3.77 oz),Mini-SIM,"TFT, 256K colors",,176 x 220 pixels,V1,
LG,M4330,"2005, Q2",Cancelled,V1,110 g (3.88 oz),Mini-SIM,"TFT, 256K colors",,176 x 220 pixels,V1,
LG,M4300,"2005, Q1",Discontinued,94 x 48 x 25 mm (3.70 x 1.89 x 0.98 in),110 g (3.88 oz),Mini-SIM,"TFT, 256K colors",,176 x 220 pixels,V1,
LG,F3000,"2005, Q3",Discontinued,88 x 47 x 23.9 mm (3.46 x 1.85 x 0.94 in),91 g (3.21 oz),Mini-SIM,"TFT, 65K colors",,128 x 160 pixels,V1,
LG,F2410,"2005, Q2",Discontinued,88 x 45 x 23.9 mm (3.46 x 1.77 x 0.94 in),91 g (3.21 oz),Mini-SIM,"TFT, 65K colors",,128 x 160 pixels,V1,
LG,F2250,"2005, Q3",Discontinued,87 x 45 x 23 mm (3.43 x 1.77 x 0.91 in),90 g (3.17 oz),Mini-SIM,"CSTN, 65K colors",,128 x 160 pixels,V1,
LG,U8290,"2006, Q2",Discontinued,89.5 x 47.5 x 24.5 mm (3.52 x 1.87 x 0.96 in),125 g (4.41 oz),Mini-SIM,"TFT, 65K colors",,176 x 220 pixels,V1,
LG,U8210,"2005, Q1",Discontinued,89.8 x 47.7 x 24.8 mm (3.54 x 1.88 x 0.98 in),115 g (4.06 oz),Mini-SIM,"TFT, 256K colors",,176 x 220 pixels,V1,
LG,U8200,"2005, Q1",Discontinued,89.5 x 47.5 x 24.5 mm (3.52 x 1.87 x 0.96 in),125 g (4.41 oz),Mini-SIM,"TFT, 65K colors",,176 x 220 pixels,V1,
LG,B2150,2005,Discontinued,105 x 44 x 15.9 mm (4.13 x 1.73 x 0.63 in),73 g (2.57 oz),Mini-SIM,"CSTN, 65K colors","1.6 inches, 8.3 cm (~17.9% screen-to-body ratio)","128 x 128 pixels, 1:1 ratio (~113 ppi density)",V1,
LG,B2100,"2005, Q2",Discontinued,103 x 43 x 16 mm (4.06 x 1.69 x 0.63 in),73 g (2.57 oz),Mini-SIM,"CSTN, 65K colors","1.5 inches, 7.3 cm (~16.4% screen-to-body ratio)","128 x 128 pixels, 1:1 ratio (~121 ppi density)",V1,
LG,B2000,"2005, Q1",Discontinued,104 x 43 x 15.9 mm (4.09 x 1.69 x 0.63 in),73 g (2.57 oz),Mini-SIM,"CSTN, 65K colors","1.5 inches, 7.3 cm (~16.2% screen-to-body ratio)","128 x 128 pixels, 1:1 ratio (~121 ppi density)",V1,
LG,F2400,"2005, Q2",Discontinued,86 x 44 x 23 mm (3.39 x 1.73 x 0.91 in),85 g (3.00 oz),Mini-SIM,"TFT, 65K colors",,"128 x 160 pixels, 7 lines",V1,
LG,F1200,"2005, Q1",Discontinued,95 x 49 x 24 mm (3.74 x 1.93 x 0.94 in),101 g (3.56 oz),Mini-SIM,"TFT, 256K colors",,"128 x 160 pixels, 12 lines",V1,
LG,F7250,"2004, Q4",Discontinued,98 x 49 x 25 mm (3.86 x 1.93 x 0.98 in),115 g (4.06 oz),Mini-SIM,"TFT, 65K colors","1.9 inches, 11.4 cm (~23.7% screen-to-body ratio)","128 x 160 pixels, 12 lines (~108 ppi density)",V1,
LG,C2100,"2005, Q1",Discontinued,88 x 47 x 24 mm (3.46 x 1.85 x 0.94 in),90 g (3.17 oz),Mini-SIM,"CSTN, 65K colors",,128 x 160 pixels,V1,
LG,G1800,"2004, Q4",Discontinued,99 x 45 x 17 mm (3.90 x 1.77 x 0.67 in),78 g (2.75 oz),Mini-SIM,"STN, 256K colors","1.6 inches, 8.3 cm (~18.5% screen-to-body ratio)","128 x 128 pixels, 1:1 ratio (~113 ppi density)",V1,
LG,G1610,"2005, Q1",Discontinued,104 x 44 x 17 mm (4.09 x 1.73 x 0.67 in),83 g (2.93 oz),Mini-SIM,"STN, 65K colors","1.5 inches, 7.3 cm (~15.9% screen-to-body ratio)","128 x 128 pixels, 1:1 ratio (~121 ppi density)",V1,
LG,G1700,"2004, Q4",Discontinued,101 x 44 x 22 mm (3.98 x 1.73 x 0.87 in),80 g (2.82 oz),Mini-SIM,"STN, 4096 colors","1.6 inches, 8.3 cm (~18.6% screen-to-body ratio)","128 x 128 pixels, 1:1 ratio (~113 ppi density)",V1,
LG,F2300,"2005, Q1",Discontinued,88 x 46 x 24 mm (3.46 x 1.81 x 0.94 in),91 g (3.21 oz),Mini-SIM,"TFT, 65K colors",,"128 x 160 pixels, 7 lines",V1,
LG,F2100,"2004, Q3",Discontinued,90 x 47 x 23 mm (3.54 x 1.85 x 0.91 in),90 g (3.17 oz),Mini-SIM,"TFT, 256K colors",,"128 x 160 pixels, 7 lines",V1,
LG,L3100,"2004, Q2",Discontinued,105 x 44 x 18 mm (4.13 x 1.73 x 0.71 in),87 g (3.07 oz),Mini-SIM,"TFT, 65K colors",,128 x 160 pixels,V1,
LG,C1200,"2004, Q1",Discontinued,82 x 45 x 22 mm (3.23 x 1.77 x 0.87 in),81 g (2.86 oz),Mini-SIM,"STN, 65K colors",,128 x 160 pixels,V1,
LG,G1600,"2004, Q2",Discontinued,104 x 44 x 17 mm (4.09 x 1.73 x 0.67 in),83 g (2.93 oz),Mini-SIM,"STN, 65K colors",,"128 x 128 pixels, 8 lines, 1:1 ratio",V1,
LG,G7200,"2004, Q1",Discontinued,93 x 49 x 26.5 mm (3.66 x 1.93 x 1.04 in),116 g (4.09 oz),Mini-SIM,"TFT, 256K colors",,176 x 220 pixels,V1,
LG,U8150,"2003, Q3",Discontinued,99 x 50 x 24 mm (3.90 x 1.97 x 0.94 in),136 g (4.80 oz),Mini-SIM,"TFT, 256K colors",,"176 x 220 pixels, 7 lines",V1,
LG,G7070,"2003, Q2",Discontinued,99 x 46 x 22 mm (3.90 x 1.81 x 0.87 in),95 g (3.35 oz),Mini-SIM,"UFB, 65K colors",,"128 x 160 pixels, 7 lines",V1,
LG,G7050,"2003, Q4",Discontinued,94 x 44 x 21 mm (3.70 x 1.73 x 0.83 in),89 g (3.14 oz),Mini-SIM,"STN, 65K colors",,"128 x 160 pixels, 6 lines",V1,
LG,G1500,"2004, Q1",Discontinued,105 x 44 x 21 mm (4.13 x 1.73 x 0.83 in),80 g (2.82 oz),Mini-SIM,Grayscale graphic,,"128 x 64 pixels, 2 lines, 18:9 ratio",V1,
LG,G5310,"2003, Q3",Discontinued,106 x 42 x 22 mm (4.17 x 1.65 x 0.87 in),85 g (3.00 oz),Mini-SIM,"UFB, 65K colors",,"128 x 160 pixels, 7 lines",V1,
LG,W7020,"2002, Q4",Discontinued,88 x 45 x 22 mm (3.46 x 1.77 x 0.87 in),89 g (3.14 oz),Mini-SIM,"STN, 65K colors",,"128 x 160 pixels, 10 lines",V1,
LG,W5200,"2002, Q3",Discontinued,84 x 45 x 20 mm (3.31 x 1.77 x 0.79 in),80 g (2.82 oz),Mini-SIM,"Grayscale graphic, 4 shades",,"128 x 128 pixels, 1:1 ratio",V1,
LG,LG-600,2002,Discontinued,80 x 44 x 24 mm (3.15 x 1.73 x 0.94 in),90 g (3.17 oz),Mini-SIM,Monochrome graphic,,128 x 90 pixels,V1,
LG,LG-500,2002,Discontinued,109 x 46 x 20 mm (4.29 x 1.81 x 0.79 in),90 g (3.17 oz),Mini-SIM,Monochrome graphic,,128 x 90 pixels,V1,
LG,LG-200,V1,Discontinued,106 x 45 x 20 mm (4.17 x 1.77 x 0.79 in),80 g (2.82 oz),Mini-SIM,Monochrome graphic,,"128 x 64 pixels, 18:9 ratio",V1,
Maxon,MX-C90,2003,Discontinued,83 x 47 x 23 mm (3.27 x 1.85 x 0.91 in),82 g (2.89 oz),Mini-SIM,"TFT, 65K colors",,"128 x 128 pixels, 1:1 ratio",V1,
Maxon,MX-C80,"2003, Q4",Discontinued,84 x 43.7 x 20.8 mm (3.31 x 1.72 x 0.82 in),85 g (3.00 oz),Mini-SIM,"TFT, 65K colors",,128 x 160 pixels,V1,
Maxon,MX-C180,"2003, Q4",Discontinued,84 x 43.7 x 20.8 mm (3.31 x 1.72 x 0.82 in),85 g (3.00 oz),Mini-SIM,"TFT, 65K colors",,128 x 160 pixels,V1,
Maxon,MX-A30,2004,Discontinued,90 x 48.5 x 22.4 mm (3.54 x 1.91 x 0.88 in),90 g (3.17 oz),Mini-SIM,"TFT, 65K colors",,128 x 160 pixels,V1,
Maxon,MX-C60,2003,Discontinued,80 x 45 x 22.9 mm (3.15 x 1.77 x 0.90 in),85 g (3.00 oz),Mini-SIM,"CSTN, 65K colors",,"128 x 128 pixels, 8 lines, 1:1 ratio",V1,
Maxon,MX-C20,2003,Discontinued,91 x 46 x 23 mm (3.58 x 1.81 x 0.91 in),90 g (3.17 oz),Mini-SIM,"CSTN, 65K colors",,"128 x 160 pixels, 7 lines",V1,
Maxon,MX-C110,2004,Discontinued,86 x 46 x 21 mm (3.39 x 1.81 x 0.83 in),85 g (3.00 oz),Mini-SIM,65K colors,,-,V1,
Maxon,MX-E10,2003,Discontinued,91 x 48 x 22.6 mm (3.58 x 1.89 x 0.89 in),90 g (3.17 oz),Mini-SIM,"TFT, 65K colors",,"176 x 220 pixels, 10 lines",V1,
Maxon,MX-V10,2004,Discontinued,78 x 37 x 20.5 mm (3.07 x 1.46 x 0.81 in),67 g (2.36 oz),Mini-SIM,"STN, 65K colors",,"128 x 128 pixels, 1:1 ratio",V1,
Maxon,MX-V30,2004,Discontinued,81 x 43 x 21 mm (3.19 x 1.69 x 0.83 in),80 g (2.82 oz),Mini-SIM,"TFT, 65K colors",,-,V1,
Maxon,MX-7990,2003,Discontinued,78 x 37 x 20.5 mm (3.07 x 1.46 x 0.81 in),67 g (2.36 oz),Mini-SIM,65K colors,,"128 x 128 pixels, 8 lines, 1:1 ratio",V1,
Maxon,MX-E80,2004,Cancelled,V1,,Mini-SIM,65K colors,,-,V1,
Maxon,MX-7750,2004,Discontinued,85 x 45 x 21 mm (3.35 x 1.77 x 0.83 in),81 g (2.86 oz),Mini-SIM,65K colors,,-,V1,
Maxon,MX-C11,2004,Discontinued,85 x 45 x 21 mm (3.35 x 1.77 x 0.83 in),81 g (2.86 oz),Mini-SIM,65K colors,,"128 x 128 pixels, 1:1 ratio",V1,
Maxon,MX-C160,2004,Discontinued,65 x 37 x 22 mm (2.56 x 1.46 x 0.87 in),59 g (2.08 oz),Mini-SIM,4096 colors,,-,V1,
Maxon,MX-7940,2003,Discontinued,80 x 45 x 24 mm (3.15 x 1.77 x 0.94 in),85 g (3.00 oz),Mini-SIM,"UFB, 65K colors",,"128 x 128 pixels, 8 lines, 1:1 ratio",V1,
Maxon,MX-7920,2003,Discontinued,64.9 x 37 x 22.1 mm (2.56 x 1.46 x 0.87 in),59 g (2.08 oz),Mini-SIM,"Grayscale graphic, 4 shades",,"128 x 128 pixels, 7 lines, 1:1 ratio",V1,
Maxon,MX-7830,2003,Discontinued,113 x 47 x 19 mm (4.45 x 1.85 x 0.75 in),95 g (3.35 oz),Mini-SIM,65K colors,,"128 x 160 pixels, 11 lines",V1,
Maxon,MX-7600,2003,Discontinued,85 x 46 x 21 mm (3.35 x 1.81 x 0.83 in),80 g (2.82 oz),Mini-SIM,"TFT, 65K colors",,"128 x 160 pixels, 6 lines",V1,
Maxon,MX-6879,2000,Discontinued,110 x 43 x 22 mm (4.33 x 1.69 x 0.87 in),135 g (4.76 oz),Mini-SIM,Monochrome graphic,,4 x 12 chars,V1,
Maxon,MX-6869,2000,Discontinued,110 x 43 x 20 mm (4.33 x 1.69 x 0.79 in),135 g (4.76 oz),Mini-SIM,Monochrome graphic,,4 x 12 chars,V1,
Maxon,MX-6815,1999,Discontinued,110 x 46 x 23 mm (4.33 x 1.81 x 0.91 in),96 g (3.39 oz),Mini-SIM,Monochrome graphic,,4 x 12 chars,V1,
Maxon,MX-6814,1999,Discontinued,110 x 46 x 23 mm (4.33 x 1.81 x 0.91 in),96 g (3.39 oz),Mini-SIM,Monochrome graphic,,4 x 12 chars,V1,
Meizu,17 Pro,"2020, May 08","Available. Released 2020, May 11",160 x 77.2 x 8.5 mm (6.30 x 3.04 x 0.33 in),219 g (7.72 oz),"Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.6 inches, 106.9 cm (~86.6% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~390 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Android 10, Flyme 8.1"
Meizu,17,"2020, May 08","Available. Released 2020, May 11",160 x 77.2 x 8.5 mm (6.30 x 3.04 x 0.33 in),199 g (7.02 oz),"Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.6 inches, 106.9 cm (~86.6% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~390 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Android 10, Flyme 8.1"
Meizu,16T,"2019, October","Available. Released 2019, October",159.6 x 78.2 x 8.3 mm (6.28 x 3.08 x 0.33 in),183 g (6.46 oz),"Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.5 inches, 106.3 cm (~85.2% screen-to-body ratio)","1080 x 2232 pixels, 18.5:9 ratio (~382 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Android 9.0 (Pie), Flyme 8"
Meizu,M10,"2019, September","Available. Released 2019, October",164.9 x 76.3 x 8.5 mm (6.49 x 3.00 x 0.33 in),184 g (6.49 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.5 inches, 102.0 cm (~81.1% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~270 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity, compass","Android 9.0 (Pie), Flyme 8"
Meizu,16s Pro,"2019, August","Available. Released 2019, August",151.9 x 73.4 x 7.7 mm (5.98 x 2.89 x 0.30 in),166 g (5.86 oz),"Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.2 inches, 95.8 cm (~85.9% screen-to-body ratio)","1080 x 2232 pixels, 18.5:9 ratio (~403 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Android 9.0 (Pie), Flyme 8"
Meizu,16Xs,"2019, May","Available. Released 2019, June",152 x 74.4 x 8.3 mm (5.98 x 2.93 x 0.33 in),165 g (5.82 oz),"Dual SIM (Nano-SIM, dual stand-by)","Super AMOLED capacitive touchscreen, 16M colors","6.2 inches, 95.8 cm (~84.7% screen-to-body ratio)","1080 x 2232 pixels, 18.5:9 ratio (~403 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Android 9.0 (Pie), Flyme"
Meizu,16s,"2019, April","Available. Released 2019, April",151.9 x 73.4 x 7.6 mm (5.98 x 2.89 x 0.30 in),165 g (5.82 oz),"Dual SIM (Nano-SIM, dual stand-by)","AMOLED capacitive touchscreen, 16M colors","6.2 inches, 97.2 cm (~87.2% screen-to-body ratio)","1080 x 2232 pixels, 18.5:9 ratio (~400 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass","Android 9.0 (Pie), Flyme 7.3"
Micromax,A36 Bolt,2014. Released 2014,Discontinued,-,-,Dual SIM (Mini-SIM),"TFT capacitive touchscreen, 65K colors","4.0 inches, 45.5 cm","480 x 800 pixels, 5:3 ratio (~233 ppi density)",V1,Android 2.3 (Gingerbread)
Micromax,A28 Bolt,2014. Released 2014,Discontinued,116.9 x 62.5 x 12.5 mm (4.60 x 2.46 x 0.49 in),89 g (3.14 oz),Dual SIM (Mini-SIM),"TFT capacitive touchscreen, 65K colors","3.5 inches, 36.5 cm (~49.9% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",V1,Android 2.3 (Gingerbread)
Micromax,Bolt A62,"2013, April. Released 2013, April",Discontinued,121.7 x 67.2 x 12.2 mm (4.79 x 2.65 x 0.48 in),85 g (3.00 oz),Dual SIM,TFT touchscreen,"3.95 inches, 46.5 cm (~56.8% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~146 ppi density)",V1,Android 2.3.5 (Gingerbread)
Micromax,Bolt A35,"2013, February. Released 2013, February",Discontinued,124 x 64 x 11.6 mm (4.88 x 2.52 x 0.46 in),89 g (3.14 oz),Dual SIM,TFT touchscreen,"4.0 inches, 45.5 cm (~57.4% screen-to-body ratio)","480 x 800 pixels, 5:3 ratio (~233 ppi density)",V1,Android 2.3 (Gingerbread)
Micromax,Bolt A27,"2013, January. Released 2013, January",Discontinued,116.2 x 62 x 13.2 mm (4.57 x 2.44 x 0.52 in),89 g (3.14 oz),Dual SIM,TFT touchscreen,"3.5 inches, 36.5 cm (~50.6% screen-to-body ratio)","320 x 480 pixels, 3:2 ratio (~165 ppi density)",V1,Android 2.3 (Gingerbread)
Micromax,GC275,2010. Released 2010,Discontinued,107.7 x 44.4 x 14.5 mm (4.24 x 1.75 x 0.57 in),100 g (3.53 oz),Mini-SIM,"TFT, 65K colors",,,V1,
Mitac,MIO Leap G50,"2008, August. Released Released 2009, October",Discontinued,98 x 58.5 x 14.2 mm (3.86 x 2.30 x 0.56 in),119 g (4.20 oz),Mini-SIM,"TFT resistive touchscreen, 65K colors","2.8 inches, 24.3 cm (~42.3% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~143 ppi density)",Accelerometer,Windows Mobile 6.1 Professional
Mitac,MIO Leap K1,"2008, June. Released 2009, October",Discontinued,105.1 x 53.5 x 14.5 mm (4.14 x 2.11 x 0.57 in),125 g (4.41 oz),Mini-SIM,"TFT resistive touchscreen, 65K colors","2.6 inches, 20.9 cm (~37.2% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~154 ppi density)",V1,Windows Mobile 6.1 Professional
Mitac,MIO A701,"2005, August",Discontinued,117 x 59 x 22 mm (4.61 x 2.32 x 0.87 in),150 g (5.29 oz),Mini-SIM,"TFT resistive touchscreen, 65K colors","2.7 inches, 41 x 54 mm, 22.6 cm (~32.7% screen-to-body ratio)","240 x 320 pixels, 4:3 ratio (~148 ppi density)",V1,Microsoft Windows Mobile 5.0 PocketPC
Mitac,MIO 8870,"2004, Q4",Discontinued,"110 x 49 x 21 mm, 110 cc (4.33 x 1.93 x 0.83 in)",120 g (4.23 oz),Mini-SIM,"TFT, 65K colors","2.2 inches, 35 x 44 mm, 15.2 cm (~28.3% screen-to-body ratio)",176 x 220 pixels (~128 ppi density),V1,Microsoft Windows Mobile 2003 SE Smartphone
Mitac,MIO 8860,"2004, Q1",Cancelled,V1,,Mini-SIM,"TFT, 256K colors (65K effective)","2.2 inches, 35 x 44 mm, 15.2 cm",176 x 220 pixels (~128 ppi density),V1,Microsoft Smartphone 2003
Mitsubishi,M750,"2003, Q4",Discontinued,"96 x 47 x 24 mm, 88 cc (3.78 x 1.85 x 0.94 in)",102 g (3.60 oz),Mini-SIM,"TFT, 256K colors",,128 x 160 pixels,V1,
Mitsubishi,M342i,"2004, Q1",Discontinued,"107 x 47 x 19 mm, 85 cc (4.21 x 1.85 x 0.75 in)",99 (3.49 oz),Mini-SIM,"TFT, 256K colors",,128 x 160 pixels,V1,
Mitsubishi,M341i/M720,"2003, Q4",Discontinued,"96 x 47 x 24 mm, 87 cc (3.78 x 1.85 x 0.94 in)",102 g (3.60 oz),Mini-SIM,"TFT, 256K colors",,"128 x 160 pixels, 10 lines",V1,
Mitsubishi,Trium Eclipse,"2001, Q3",Discontinued,"123 x 48 x 29 mm, 100 cc (4.84 x 1.89 x 1.14 in)",110 g (3.88 oz),Mini-SIM,"CSTN, 256 colors",,120 x 143 pixels,V1,
Mitsubishi,Trium Sirius,Mid 2001,Discontinued,104 x 53 x 22 mm (4.09 x 2.09 x 0.87 in),75 g (2.65 oz),Mini-SIM,Monochrome graphic,,5 x 13 to 25 chars,V1,
Mitsubishi,Trium Mondo,2000,Discontinued,139.5 x 84 x 19 mm (5.49 x 3.31 x 0.75 in),200 g (7.05 oz),Mini-SIM,"Monochrome resistive touchscreen, 16 shades",,"240 x 320 pixels, 4:3 ratio",V1,Microsoft Windows PocketPC
Motorola,One Fusion+,"2020, June 08","Available. Released 2020, June 08",162.9 x 76.4 x 9.6 mm (6.41 x 3.01 x 0.38 in),210 g (7.41 oz),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.5 inches, 103.7 cm (~83.3% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~396 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity",Android 10
Motorola,Moto G Fast,"2020, June 05","Available. Released 2020, June 12",161.9 x 75.7 x 9.1 mm (6.37 x 2.98 x 0.36 in),189.4 g (6.67 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.4 inches, 100.5 cm (~82.0% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~268 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity",Android 10
Motorola,Moto E (2020),"2020, June 05","Available. Released 2020, June 10",159.8 x 76.6 x 8.7 mm (6.29 x 3.02 x 0.34 in),185 g (6.53 oz),Nano-SIM,"IPS LCD capacitive touchscreen, 16M colors","6.2 inches, 95.9 cm (~78.4% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~271 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity, compass",Android 10
Motorola,Moto G Pro,"2020, May 26","Available. Released 2020, June 15",158.6 x 75.8 x 9.2 mm (6.24 x 2.98 x 0.36 in),192 g (6.77 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.4 inches, 100.7 cm (~83.7% screen-to-body ratio)",1080 x 2300 pixels (~399 ppi density),"Fingerprint (rear-mounted), accelerometer, gyro, proximity","Android 10, Android One"
Motorola,Edge+,"2020, April 22","Available. Released 2020, May 14",161.1 x 71.4 x 9.6 mm (6.34 x 2.81 x 0.38 in),203 g (7.16 oz),Nano-SIM,"OLED capacitive touchscreen, 1B colors","6.7 inches, 110.2 cm (~95.8% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~385 ppi density)","Fingerprint (under display, optical), accelerometer, gyro, proximity, compass, barometer",Android 10
Motorola,Moto G8 Power Lite,"2020, April 03","Available. Released 2020, April 03",164.9 x 75.8 x 9.2 mm (6.49 x 2.98 x 0.36 in),200 g (7.05 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.5 inches, 102.8 cm (~82.2% screen-to-body ratio)","720 x 1600 pixels, 20:9 ratio (~269 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity",Android 9.0 (Pie)
Motorola,Moto E6s (2020),"2020, March 17","Available. Released 2020, April 27",155.6 x 73 x 8.5 mm (6.13 x 2.87 x 0.33 in),160 g (5.64 oz),"Single SIM (Nano-SIM) or Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.1 inches, 91.3 cm (~80.4% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~282 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity",Android 9.0 (Pie)
Motorola,Moto G8,"2020, March 05","Available. Released 2020, March 05",161.3 x 75.8 x 9 mm (6.35 x 2.98 x 0.35 in),188.3 g (6.63 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.4 inches, 100.5 cm (~82.2% screen-to-body ratio)","720 x 1560 pixels, 19.5:9 ratio (~268 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity",Android 10
Motorola,Moto G Stylus,"2020, February 07","Available. Released 2020, April 16",158.6 x 75.8 x 9.2 mm (6.24 x 2.98 x 0.36 in),192 g (6.77 oz),Nano-SIM,"IPS LCD capacitive touchscreen, 16M colors","6.4 inches, 100.7 cm (~83.7% screen-to-body ratio)",1080 x 2300 pixels (~399 ppi density),"Fingerprint (rear-mounted), accelerometer, gyro, proximity",Android 10
Motorola,Moto G Power,"2020, February 07","Available. Released 2020, April 17",159.9 x 75.8 x 9.6 mm (6.30 x 2.98 x 0.38 in),199 g (7.02 oz),Nano-SIM,"IPS LCD capacitive touchscreen, 16M colors","6.4 inches, 100.7 cm (~83.0% screen-to-body ratio)",1080 x 2300 pixels (~399 ppi density),"Fingerprint (rear-mounted), accelerometer, gyro, proximity",Android 10
Motorola,Moto G8 Power,"2020, February 07","Available. Released 2020, April 16",156 x 75.8 x 9.6 mm (6.14 x 2.98 x 0.38 in),197 g (6.95 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.4 inches, 100.7 cm (~85.1% screen-to-body ratio)",1080 x 2300 pixels (~399 ppi density),"Fingerprint (rear-mounted), accelerometer, gyro, proximity",Android 10
Motorola,One Hyper,"2019, December 04","Available. Released 2020, January 22",161.8 x 76.6 x 8.9 mm (6.37 x 3.02 x 0.35 in),210 g (7.41 oz),"Single SIM (Nano-SIM) or Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.5 inches, 103.7 cm (~83.7% screen-to-body ratio)","1080 x 2340 pixels, 19.5:9 ratio (~396 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity, compass",Android 10
Motorola,Razr 2019,"2019, November 14","Available. Released 2020, February 06",Unfolded: 172 x 72 x 6.9 mmFolded: 94 x 72 x 14mm,205 g (7.23 oz),eSIM,"Foldable P-OLED capacitive touchscreen, 16M colors","6.2 inches, 86.9 cm (~70.2% screen-to-body ratio)",876 x 2142 pixels (~373 ppi density),"Fingerprint (front-mounted), accelerometer, gyro, proximity, compass","Android 9.0 (Pie), upgradable to Android 10"
Motorola,Moto G8 Play,"2019, October","Available. Released 2019, October",157.6 x 75.4 x 9 mm (6.20 x 2.97 x 0.35 in),183.6 g (6.49 oz),"Hybrid Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","6.2 inches, 95.9 cm (~80.7% screen-to-body ratio)","720 x 1520 pixels, 19:9 ratio (~271 ppi density)","Fingerprint (rear-mounted), accelerometer, gyro, proximity",Android 9.0 (Pie)
Motorola,Moto E6 Play,"2019, October","Available. Released 2019, November",146.5 x 70.9 x 8.3 mm (5.77 x 2.79 x 0.33 in),140 g (4.94 oz),"Dual SIM (Nano-SIM, dual stand-by)","IPS LCD capacitive touchscreen, 16M colors","5.5 inches, 77.0 cm (~74.1% screen-to-body ratio)","720 x 1440 pixels, 18:9 ratio (~295 ppi density)","Fingerprint (rear-mounted), accelerometer, proximity",Android 9.0 (Pie)
